source_type,source_id,parent_id,source_guid,Name,SEName,Description,Summary,SETitle,SEDescription,SEKeywords,DisplayOrder,Published
category,135,4,09424224-064D-40ED-BF97-DC546C1060D8,Mascot Bobblehead Trophies,mascot-bobblehead-trophies,,,Mascot Bobbleheads Trophies,"Mascot Bobblehead Trophies include Bulldog, Lion, Bear, Jaguar, Pirate, and more.  Free personalization & shipping.",Mascot Bobblehead Trophies,30,1
category,136,5,3AA0BFCE-90CB-493A-BACC-31AEA7E67663,Custom Crystal Awards,custom-crystal-awards,"Custom Crystal Awards are a great way to recognize the top stars in your organization.
TrophyPartner.com offers custom crystal trophies and awards for all occasions: sales achievement, years of service, retirement, rising star awards, rookie of the year trophies, crystal gifts, and high quality sports trophies.&nbsp; &nbsp;We offer more imprinting processes than anyone in the industry including: deep etch, colorfill, 3D subsurface,&nbsp; and IlIllumachrome to make your awards really stand out.<br />
<br />
Can't decide on an award.&nbsp; Let us do the work for you.&nbsp;<a href=""mailto:info@trophypartner.com"">Email us</a> with the following information:<br />
<br />
1) Budget per piece or budget range<br />
2) Number of pieces needed<br />
3) Date needed<br />
4) Award Occasion: sales achievement, retirement, service awards, etc.<br />
5) Required colors or designs elements<br />
6) Size requirements ((height and width)<br />
7) Your logo in a high resolution vector art format (.eps or .ai)<br />
<br />
We will put together 2-3 concepts that are within your price range and email those to you.&nbsp; Chose from one of the designs or tweak it until we've put together the perfect award for you.<br />
<br />
Please check out some of our beautiful crystal awards from our video below and explore all of the different ways we have to imprint your award to make it a truly special piece for your recipient.<br />
<br />
<div class=""row"">
<div class=""col-md-6 custom-videos"">
<h2>Custom Crystal Trophies &amp; Awards</h2>
<figure class=""embedded-video  embed-responsive embed-responsive-16by9"">
<span><iframe src=""//www.youtube-nocookie.com/embed/Sq8r2B2xKts?rel=0&amp;showinfo=0"" class=""embed-responsive-item""></iframe></span>
</figure>
</div>
<div class=""col-md-6 custom-videos"">
<br />
<a href=""/images/Crystal-Trophies-Imprint-Options.jpg"" style=""display: block; padding: 0px 20%;"">
<img alt="""" src=""/images/Crystal-Trophies-Imprint-Options.jpg"" class=""img-responsive center-block"" />
</a>
</div>
</div>",,Custom Crystal Awards & Trophies | TrophyPartner.com,"Custom Crystal Awards and Trophies for all recognition occasions: sales achievement, years of service, retirement, rising star awards, rookie of the year trophies, and crystal gifts.","Custom Crystal Awards, Custom Crystal Trophies, Custom Recognition Products",1,1
category,137,5,27E6DF00-CFAF-4E92-A999-3F2ACC1E7DDD,Glass Art Trophies,glass-art-trophies,"Our beautiful selection of glass art trophies are a unique and meaningful way to recognize corporate achievement and excellence.&nbsp; Each one is handcrafted so no two are alike.&nbsp; <br />
<br />
These art glass awards serve as artwork pieces inside the recipient's home and come is various shapes, sizes, and colors to meet any budget.<br />
<br />
At TrophyPartner.com we offer free personalization, quantity discounts, and free shipping with a $300 purchase making us the right choice to get your awards done right and done on time.&nbsp; With our innovative TurboPartner Service we can deliver many of these awards within 3 business days.<br />
<br />
Browse our incredible selection now to see all of the wonderful options we have.",,Glass Art Trophies | Art Glass Awards | Glass Art Sculptures,Glass Art Trophies in different colors and shapes.  These Art Glass Sculptures make a unique award for a special recipient.  Free personalization.  Rush service.,"Glass Art Trophies, Art Glass Awards, Glass Art Sculptures",1,1
category,138,5,349AACB7-3FF3-44EC-9ABB-3906EA3E6FC2,Acrylic Awards,acrylic-awards,"TrophyPartner.com
carries a wide selection of acrylic trophies for corporate recognition
awards.&nbsp; We offer a large selection of awards in
all shapes, sizes, and price points.
<br />
<br />
Personalize your award by choosing either engraving or imprinting or
we can do a combination of both. &nbsp;Our acrylic trophies have the look of
glass with the durability of lucite but at a fraction of the cost.
&nbsp;Choose from a large selection of designs in colors like jade, blue, and
clear. We also offer unique acrylic awards with wood accents or
standoffs to make them stand out from the crowd. &nbsp;We can meet any
recognition need and budget.<br />
<br />
Can't find the exact acrylic trophy you want. &nbsp;We would be happy to custom design one for you. &nbsp;Visit our <a href=""http://www.trophypartner.com/c-315-custom-trophies-corporate-awards-logo-trophies.aspx"" target=""_self"">custom awards</a> page for more information.<br />
<br />
Our set-up fee includes adding your logo (if applicable), text, and a
proof. &nbsp;You will be able to see what your award looks like before we
produce it. &nbsp;Tweak the design to meet your needs.",,Corporate Acrylic Awards |  Acrylic Trophies| Paperweights,"Corporate acrylic awards & trophies to recognize your top achievers.  We offer a large selection of awards in all shapes, sizes, and price points. We can imprint your logo in color and engrave it.","Acrylic Awards, Acrylic Trophies,  Acrylic Paperweights, corporate recognition awards, corporate awards, corporate acrylic awards",1,1
category,142,5,1DADA99C-283A-4CAB-9757-E50569EAB8A8,Eagle Awards ,eagle-awards,"Eagle Trophies make the perfect corporate recognition award. &nbsp;Few things match the grace and power of the flight of an eagle. &nbsp;The majestic eagle trophies we carry represent characteristics such as independence, stamina, commitment, and freedom. &nbsp;Choose one of our eagle awards to celebrate employee of the month, achievement of a particular goal, or excellence.<br />
<br />
TrophyPartner.com carries eagles in flight, soaring eagles, American Eagles, eagle mascots, and many more. We include 60 free characters of text on each trophy and free ground shipping when you purchase over $300. &nbsp;",,Eagle Trophies | Eagle Awards,,"Eagle Trophies, Eagle Awards ",1,1
category,143,5,7E869F30-791C-46BA-BB18-ACFA1880EF55,Crystal Bowls & Vases,crystal-bowls-vases,"Engraved Crystal Bowls and Vases make the perfect corproate award.&nbsp; These elegant trophy bowls and vases can be used for golf tournaments or special recognition items for employee awards or milestones.&nbsp; Choose from a wide variety of shapes, sizes, colors, and more.&nbsp;&nbsp;",,Crystal Bowl Trophies | Crystal Vase Awards,"Crystal Bowl Trophies, Crystal Vase Awards with free personalization & shipping.  Rush service.  Easy to order. ","Crystal Bowl Trophies, Crystal Vase Awards",1,1
category,144,5,4414F812-20B0-43D9-A7FF-D713166BF408,Star Award Trophies ,star-award-trophies,"<span style=""font-weight: bold; font-size: small; font-family: arial, sans-serif; color: #6a6a6a;""></span>Star Trophies, Acrylic Star Awards are perfect to recognize a special recipient for a stellar corporate performance.&nbsp; Available in all types of materials including crystal, acrylic, wood , from small to large sizes and in all budgets, with free personalization.&nbsp; Rush service available.<span style=""font-size: small; font-family: arial, sans-serif; color: #545454;""></span>",,Star Trophies | Acrylic Star Awards | Star Plaques,"Star Trophies, Acrylic Star Awards are perfect to recognize a special recipient for a stellar performance.  Available in small and large sizes, in all budgets, with free personalization.  Rush service.","Star Trophies, Acrylic Star Awards, Star Plaques, corporate star award, corporate star trophies",1,1
category,145,5,17499945-281A-49C3-ABDE-E0434F880876,Globe Awards ,globe-awards,"<span style=""color: #000000;"">TrophyPartner.com offers a wide
assortment of quality globe awards and trophies to acknowledge
world-class excellence and achievement!<br />
<br />
Our globe trophies are designed to fit any recognition
program budget.&nbsp; We carry globe awards crafted of crystal, glass, or resin in a host of sizes and styles. The options are as vast as our planet. &nbsp;We offer quantity discounts for larger purchases.<br />
<br />
Globe awards are the
ideal recognition gift for educators, coworkers, and organizations that
make a “world of difference.” All globe awards come with free personalization and free shipping with a $250 purchase. If you need your awards in a hurry, many awards are available to be delivered within 3 business days with our TurboPartner service.</span>",,Globe Trophies | World Trophies | Globe Awards  ,"Globe Trophies & Globe Awards acknowledge world-class excellence in achievement in any area! Designed to fit any recognition budget, choose awards made from crystal, glass, or resin.","Globe Trophies, World Trophies, Globe Awards",1,1
category,146,5,765A6F4C-CCAD-4F2F-B92C-3107931F8DE2,Humor & Joke Trophies,humor-joke-trophies,,,Joke Trophies | Funny Trophies | Gag Awards | Humor Trophies,"Joke Trophies perfect for any funny award gift including gag trophies, last place awards, joke awards, and for anyone with a good sense of humor.  Free personalization.  Rush service.","Joke Trophies, Funny Trophies, Gag Awards, Humor Trophies",1,1
category,147,5,8A4C85E5-7B91-4B06-8075-A54C7C917755,Gifts,personalized-business-gifts,"Personalized business gifts from TrophyPartner.com help keep your brand in the front of your customers and employee's minds. &nbsp;Our stylish and and eye-catching gifts will leave a long lasting impression. Perfect for new product launches, giveaways, gift shops, and event favors.<br />
<br />
We offer wine box gift sets, humidors, golf gift items, holiday ornaments, beverage coolers, and many more items.<br />
<br />
Add your logo and/or message to these items and you have a long lasting memento to hand out to your customers that they will be able to use for years to come. <br />
<br />
TrophyPartner.com carries a wide variety of personalized gift items for businesses and organizations. We carry gifts for any occasion: gift giving including Christmas, employee recognition, business promotion, years of service, and much more.&nbsp; Browse our selection now.",,Personalized Business Gifts | Custom Engraved | Employee Business Gifts,"Personalized business gifts including engraved wine sets, humidors, ornaments, golf sets, and more. Keep your brand in the front of customers' minds with these gifts items.","Corporate Gift Set Awards, Wine Gift Sets, Golf Gift Set Awards, Personalized Gifts, personalized business gifts",1,1
category,149,5,C84E552A-F043-4908-96C9-DCE6CCE46767,Italian Trophy Cups,italian-trophy-cups,"Italian Trophy Cups.&nbsp; Made of the finest materials, these cup trophies come in a variety of styles, shapes, and colors and are the ideal reward for outstanding
performance, whether in sports, the corporate world, or any
other high level contest.&nbsp; <br />
<br />
Many of these loving cups can be used as perpetual trophies that can track yearly winners for 12-24 years by utilizing the 4 sides of the base to add additional name plates.<br />
<br />
At TrophyPartner.com we carry one of the widest selection of imported Italian Cups that you will find.&nbsp; With free personalization and free shipping with a $250 purchase we make the process quick and easy.<br />
<br />
Browse our beautiful selection to find your ideal match.",,Italian Trophy Cups,"Italian Trophy Cups, Italian Cup Trophies in silver and gold, large and small for the ultimate winning award.  Free personalization & shipping.  Rush service.","Italian Trophy Cups, Italian Cup Trophies, Silver Trophy Cups",1,1
category,151,5,156BF40D-0AAE-41FE-93FD-47FF71F968C3,Achievement & Victory,achievement-victory,,,Achievement Trophies | Victory Trophies & Awards,,"Achievement Trophies, Victory Trophies & Awards",1,1
category,152,5,1047C651-AD59-4169-9444-3821C055C5FB,Teamwork Awards,teamwork-awards,,,Teamwork Awards | Teamwork Trophies | Teamwork Plaques ,"Teamwork Awards, Teamwork Trophies including gears trophy, sportsmanship trophies, and hand-shake trophies.  Free personalization.  Rush service.  Easy to order.","Teamwork Awards, Teamwork Trophies, Teamwork Plaques",1,1
category,172,0,CA0EAFAA-7416-4194-9EAE-7BAE468C8583,New,new,,,New Trophies | New Awards ,Our latest selection of new & exciting trophies & awards.  Free shipping and personalization.,"New Trophies, New Awards",24,1
category,173,0,2871211E-0521-4E9A-8DAC-BE15F6303D85,Acrylic Awards & Trophies,acrylic-awards-trophies,"TrophyPartner.com
carries a wide selection of acrylic awards and acrylic trophies for corporate recognition.&nbsp; We offer a large selection of awards in
all shapes, sizes, and price points.&nbsp;
We can even make acrylic awards in the shape of any of the 50 states.<br />
<br />
Personalize your award by choosing either engraving or imprinting or
we can do a combination of both. &nbsp;Our acrylic awards have the look of
glass with the durability of Lucite but at a fraction of the cost.&nbsp; We use cast acrylic, a form of PMMA, not plastic.&nbsp; This higher grade acrylic makes a big difference in the final product.&nbsp; It has a superior finish and optical quality.&nbsp; <br />
<br />
Choose from a large selection of designs in colors like jade, blue, and
clear. We also offer unique acrylic awards with wood accents or
standoffs to make them stand out from the crowd.&nbsp; We can meet any
recognition need and budget.<br />
<br />
Can't find the exact acrylic trophy you want. &nbsp;We would be happy to custom design one for you. &nbsp;Visit our <a title=""Custom Acrylic Awards"" href=""http://www.trophypartner.com/c-315-custom-trophies-corporate-awards-logo-trophies.aspx"" target=""_self"">custom acrylic awards</a> page for more information.<br />
<br />
Our set-up fee includes adding your logo (if applicable), text, and a
proof. &nbsp;You will be able to see what your award looks like before we
produce it. &nbsp;Tweak the design to meet your needs.",,Acrylic Awards | Acrylic Trophies | Corporate Recognition,"Acrylic Awards & Trophies for corporate recognition. We offer a large selection of awards in all shapes, sizes, and price points.  We can even make acrylic awards in the shape of any of the 50 states.","Acrylic Awards, Acrylic Paperweights, Acrylic Trophies, Corporate Recognition Awards",5,1
category,174,0,FFF352FE-6B62-4320-89E3-61BA1E37F5C2,Bobblehead Trophies,bobblehead-trophies,"Bobblehead trophies are a fun and unique way to recognize accomplishment.&nbsp; TrophyPartner.com carries bobblehead awards across most major sports including coaches.&nbsp; We carry a full line of school mascot bobble heads, and we carry unique bobblehead trophies for the biggest loser like our Horse's Rear Bobble and many others including Santa, Commode, and Shark.<br />
<br />
With our fast production time, free personalization, and 3 day delivery with our TurboPartner Service we are your destination for everything bobblehead.<br />
<br />
Add a little bounce to your next award ceremony with a bobblehead trophy from TrophyPartner.com.",,Bobblehead Trophies ,"Bobblehead Trophies, Bobble Awards, Bobblehead Dolls.  Free shipping and personalization.  Low prices.","Bobblehead Trophies, Bobble Trophies",15,1
category,175,0,740B6BF9-F538-4222-A8B1-774033228D6C,Column Trophies,column-trophies,,,Column Trophies | Traditional Trophies ,"Column Trophies in various sports, sizes, and colors.  Free shipping & personalization. Unique Column Trophies work for any sport.",Column Trophies,19,1
category,177,0,002FD289-5016-4DA4-BAE3-0CFA4151CA29,Crystal Awards,crystal-awards,"<div class=""category-description std"">
At TrophyPartner.com we carry an incredible selection of crystal awards in all shapes, sizes, colors and
artistic concepts. Breathtaking, radiant and artistic, crystal trophies
are the perfect gift for years of
dedicated service; distinguishing department heads, team leaders or
other outstanding individuals; or acknowledging employees at
retirement.&nbsp; We also carry beautiful crystal sports awards to recognize the highest levels of achievement.<br />
<br />
Our goal is to provide you with an exceptional
buying experience when purchasing your crystal award.  We offer easy
online ordering or help just an email or live chat away. We include free personalization of up to 60 characters of text in the
price of your crystal awards.&nbsp; We offer masterfully crafted
one-of-a-kind engraving, using the latest technology to create your
customized message. In addition to engraving we offer other innovative ways of imprinting our awards or gifts including: 3D subsurface, deep etch, Illumachrome, colorfill, and sublimation. Quantity
discounts are available for larger orders and free shipping is offered on stock orders totaling over $300.<br />
<br />
Our crystal trophies are elegant, classy and prestigious and sure to add class to any awards event.  Order an impeccable crystal
award or crystal trophy for your next corporate awards function now!
</div>",,Crystal Awards | Personalized Crystal Trophies | TrophyPartner.com ,Crystal Awards for businesses and sporting organizations. TrophyPartner.com offers personalized Crystal Trophies engraved with your custom text and logo to recognize top perfrmers.,"Crystal Awards, Crystal Trophies, Engraved Crystal Awards, Glass Trophies, personalized crystal trophies",7,1
category,178,0,ACDAFBF2-1E3D-4A28-8701-5A8B713B3927,Trophy Cups,trophy-cups,"<div class=""category-description std"">With a huge selection of trophy cups available, we have one that fits every taste, style, and budget.  We have a large variety of cup trophies in
every size and price range, including ones made of crystal, medal or plastic.
From our beautiful imported Italian Trophy Cups to more bargain conscious cups, we've got you covered.<br />
<br />
Trophy Cups are the ultimate recognition award and work as either a corporate recognition award or are great for sports and activities too.&nbsp; With free personalization, quantity discounts, and quick
production time, TrophyPartner.com makes ordering trophy cups quick,
easy, and hassle free. You can trust that our quality and our expert staff make sure your cup trophy will look impressive, making you, your boss, your team or your company proud.
<br />
<br />
Start browsing our trophy cups now to see all of the possibilities!</div>",,Trophy Cups | Cup Trophies | Crystal Trophy Cups | Plastic Cup Trophies,"Trophy Cups, Cup Trophies, Silver Metal Cup Trophies,  Gold Trophy Cups, and more.  Free shipping & personalzation.  Unique Trophy Cups for any occasion.","Trophy Cups, Cup Trophies, Crystal Trophy Cups, Plastic Cup Trophies",17,1
category,179,0,33C3D25C-48B9-4519-862D-92681A4DD1F4,Keychains,keychains,"Keychains are a unique alternative to traditional awards.&nbsp; We have them for most major sports and they are a fun way to recognize a team member while at the same time they serve a valuable function for the recipient. <br />
<br />
All of our key chains include a free personalized name plate on the back with the text of your choice.&nbsp; We offer quantity discounts and fast production time.&nbsp; In fact, they are included in our 3 day TurboPartner service so we can get them to you fast if you are in a hurry.",,Sports Keychains | Key Chain Medals | Key Chains ,Unique sports keychains personalized at no charge.  Large selection.  Easy to order.,"Sports Keychains, Keychain Medals, Key Chains",9,1
category,180,0,A67091B2-B3EC-47E0-88FC-022FE09D3EF1,Mascot Trophies,mascot-trophies,"<div class=""category-description std"">Show your school spirit with a mascot award from
TrophyPartner.com!  We are your source for mascot trophies &amp; school mascot
awards. Many different styles to choose from, including mascot
trophies, resin awards, bobble head mascots, and medals!
<br />
<br />
Whether your school is the Bulldogs, Trojans, Eagles, Pirates,
Bears, Cowboys, Cougars, Lions, Rams, Hornets, Bobcats,
Mustangs, or Tigers, we can provide the perfect award to make your school
event special. Even choose your school colors for the neck ribbon of a
medal!&nbsp;
Can't find what you want, email us your logo and we will custom make a mascot trophy for you.<br />
<br />
Why buy your school mascot trophy from TrophyPartner.com? We offer free personalization and quantity discounts. Free shipping is included with a $250 order.&nbsp; Our award quality and customer
service are second to none. Don’t take our word for it - read our
product reviews and <a title=""Customer Testimonials"" target=""_self"" href=""t-cust-testimonials.aspx"">testimonials</a> to see what other customers have to
say.
<br />
<br />
Shop our School Mascots now to find a trophy with a ‘wow’ factor for your school!		    </div>",,Mascot Trophies | School Mascot Awards | Mascot Bobbleheads,"Mascot Trophies, School Mascot Awards, and Mascot Bobbleheads. Unique Mascot Trophies for any school.  Show your team spirit.","Mascot Trophies, Mascot Bobblehead Trophies, Mascot bobbleheads",13,1
category,181,0,1D336766-DBE3-4ED1-8CF3-C811E721B8C3,Mugs,mugs,,,Sport Mug Trophies | Golf Mug Trophies ,"Unique Mug Trophies for all sports including golf, football, bowling, and more.  Personalized at no aditional charge.  Free shipping.  Easy to order.","Sports Mug Trophies, Golf Tankard Trophies",14,1
category,182,0,B3E55D5E-93C8-4E02-BEC8-7CD1043319DB,Perpetual Awards,perpetual-awards,,,Perpetual Trophies | Perpetual Awards,Unique Perpetual Trophies & Awards for sports including fantasy football.  Free shipping & personalization.,"Perpetual Trophies, Perpetual Awards",21,1
category,183,0,FD374627-821E-4E08-96EB-6D8CB35BE1C5,Picture Frames,picture-frames,"Personalized picture frames from TrophyPartner.com are a fun and unique recognition award for sports players and coaches as well as businesses.&nbsp; We add your personalized text to the frame and you simply add your picture for a memorable keepsake.<br />
<br />
Our sports picture frames are available for most major sports.&nbsp; <span>We also carry photo plaques in various photo sizes that are great for businesses or organizations.<br />
<br />
With free personalization, quantity discounts, and quick
production time, TrophyPartner.com makes ordering picture frames quick,
easy, and hassle free. You can trust that our quality and our expert
staff make sure you end up with an impressive gift.</span>",,Personalized Picture Frames | Sports Picture Frames | Photo Plaques,Personalized Picture Frames for all sports.  Free shipping.  Large selection.  Easy to order.  Rush service.,"Sports Picture Frames, Personalized Picture Frames, Photo Plaques",11,1
category,184,0,23DD301E-FDD3-4E9D-92B5-870B58D33DD7,Custom Awards,custom-awards,"TrophyPartner.com is your source for custom awards.&nbsp; We make <a href=""http://www.trophypartner.com/c-315-custom-trophies-corporate-awards-logo-trophies.aspx#"">custom trophies</a>, <a href=""http://www.trophypartner.com/c-65-custom-medals-custom-dogtags.aspx#"">custom medals and dog tags</a>, <a href=""http://www.trophypartner.com/c-366-custom-3d-crystal-awards.aspx#"">custom 3-D crystal trophies</a>, <a href=""http://www.trophypartner.com/c-350-champion-award-belts.aspx"">custom award belts</a>, <a href=""http://www.trophypartner.com/c-79-color-logo-plaques.aspx#"">custom plaques</a>, and much more. <br />
<br />
We provide free design work on many of our custom awards.&nbsp; Simply email us your logo along with some
basic information about your project and let one of our artists go to work.&nbsp; Within 2-3
business days we will provide 2-3 concepts for you to review.&nbsp; Tweak the
designs until we have created the perfect award for you. <br />
<br />
Our custom acrylic trophies are our most popular custom award option and are based on your logo or design.&nbsp; We can design for any budget, size, or shape. The possibilities are endless.&nbsp; Visit our <a title=""Custom Acrylic Trophies"" target=""_self"" href=""http://www.trophypartner.com/c-315-custom-trophies.aspx"">custom acrylic trophies</a> page to view the different options we offer, expected pricing, and pictures of trophies we have created for other customers.<br />
<br />
What do our customers think about our custom awards?&nbsp; Bill Sherer said ""I wanted to let you know that the awards arrived yesterday and I was able to finally look at them last night. You out did yourself, they are incredible! I cannot wait to send them out to our regional winners. Not only are they head turning awards, but they will no doubt become sought after and go a long way in boosting the competitive spirit among our national ranks. Thank you for your patience in working through this with me. Don't lose that design as you've more than earned our repeat business!"" <br />
<br />
<span>Request for free custom award design by filling out our custom <a href=""http://www.trophypartner.com/t-CustomAwards.aspx"">design request form</a> on our custom awards page or <a href=""mailto:info@trophypartner.com"">email us</a> with the following information:<br />
1) <a title=""Custom Trophy Pricing Guidelines"" href=""/images/custom_acrylic_flyer.jpg"" target=""custom_acrylic_flyer"">Provide desired design group</a><br />
2) Provide budget per piece or budget range<br />
3) Provide number of pieces needed<br />
4) Provide date needed<br />
5) Provide required colors or design elements<br />
6) Provide size requirements (height/width)<br />
7) Provide a sketch, logo, or description of what you want</span>",,Custom Awards | Create Your Own Awards | Custom Trophies,"Create your own custom awards: trophies, medals, championship award belts and more. Send us your artwork and idea and we will create a unique custom recognition award just for you.","Custom Awards, Design Your Own Awards, Create your own awards, custom trophies",3,1
category,186,0,6DCE8722-3D7C-460D-952D-2156B21ABEE2,Ribbons,ribbons,"TrophyPartner.com carries a wide selection of custom and stock award ribbons.&nbsp; Ribbons are an economical award choice.&nbsp; We carry simple card and string ribbons to rosette ribbons.<br />
<br />
Choose from stock ribbons available in 1st through 6th place, participation, honorable mention, or special award or custom make your own by providing your own artwork or choose from our designs and add your own text.<br />
<br />
Need ribbons in a hurry.&nbsp; Our 3 day TurboPartner shipping service delivers.&nbsp; We have thousands of ribbons in stock ready to ship.",,Award Ribbons | First Place Ribbons | Rosette Ribbons | Place Ribbons ,"Award Ribbons, Rosette Ribbons for 1st through 6th plce.  Honorable Mention Ribbons and more.  Fast turnaround.","Award Ribbons, First Place Ribbons, Rosette Ribbons, Place Ribbons",18,1
category,190,0,0F9363A6-7324-470D-AA92-A950D8A5590E,Closeout,closeout,,,Closeout Trophies | Discontinued Trophies | Discounted Trophies ,Discounted trophies with huge discounts are available from TrophyPartner.com.  Check out these cheap trophy deals. ,"Closeout Trophies, Discontinued Trophies, Discounted Trophies",4,1
category,206,1,32A94287-3499-40F5-B51E-50730A0A774C,Resin Figure Trophies,resin-figure-trophies,,,Resin Figure Trophies,"Resin Figure Trophies are the perfect recognition award for corporations, sporting teams, and other events.  Free personalization included.","Resin Figure Trophies, Resin Trophies",1,1
category,213,183,5E6BE8D7-1C04-48C7-B33A-5B87FB27C360,Sport Picture Frames,sport-picture-frames,,,Sport Picture Frames,"Sport Picture Frames hold a 5"" x 7"" picture that you insert yourself and are available in Football, Baseball, Basketball, and more sports.  Free personalization included.",Sport Picture Frames,1,1
category,215,183,22CB6758-B715-4DA9-8F15-943BAE4F7EF9,Photo Plaques,photo-plaques,,,"Photo Plaques, Picture Photo Plaques",,"Photo Plaques, Picture Photo Plaques",1,1
category,217,183,825B6143-EB17-46F8-AEEB-C24E80A1C61C,Sports Themed Photo Plaques,sports-themed-photo-plaques,,,Sports Themed Photo Plaques,,"Sports Themed Photo Plaques, Sports Plaques",1,1
category,223,174,41CDABB1-8E2F-4C5A-BB82-2C9D4041EC77,Mascot Bobblehead Trophies,mascot-bobblehead-trophies,,,Mascot Bobblehead Trophies,,Mascot Bobblehead Trophies ,10,1
category,226,178,784631DC-A4F2-4B19-8B40-983D0B959B2F,Metal Trophy Cups,metal-trophy-cups,,,Metal Cup Trophies,"Metal Trophy Cups, Metal Cup Trophies are great awards to mark a significant accomplishment.  Free personalization included.","Metal Cup Trophies, Metal Trophy Cups",1,1
category,228,178,CC75F0BB-81EE-423D-B9B0-676BE4571BD9,Italian Trophy Cups,italian-trophy-cups,,,Italian Trophy Cups | Italian Cup Trophies,"Italian Trophy Cups, Italian Cup Trophies in silver and gold finishes and size small to large. Free personalization. Italian Trophy Cups are sure to please their recipient.","Italian Trophy Cups, Italian Cup Trophies",1,1
category,234,174,7C30903C-6B8E-42D7-BD2F-94EE13806E72,No Face Bobblehead Trophies,no-face-bobblehead-trophies,,,No Face Bobblehead Trophies,Bobblehead Trophies with no face feature unique bobblehead designs that are perfect for males or females.  These bobblehead trophies are sure to bring a smile to the recipient's face.  Free personalization.,No Face Bobblehead Trophies,4,1
category,235,174,DABDE7A9-1BD6-4C2F-B7C7-6C24ECA4013A,Bobbleheads Trophies with Faces,bobbleheads-trophies-with-faces,,,Bobbleheads Trophies with Faces,,Bobbleheads Trophies with Faces,1,1
category,236,174,C8F975F1-2745-4D9B-A7F0-AD5A6EC0F99A,Rock n' Bop Bobblehead Trophies,rock-n-bop-bobblehead-trophies,,,Rock n' Bop Bobblehead Trophies,,Rock n' Bop Bobblehead Trophies,5,1
category,237,0,5C1DE5F7-E39C-4892-8003-17481BAC27EF,Trophies On Sale,trophies-on-sale,,,Trophies on Sale | Cheap Trophies | Discounted Trophies,"Trophies are always on sale from our selection including cheap trophies and , discounted trophies from TrophyPartner.com.  Check out our current selection of discounted trophies & awards.  All include free personalization.","Trophies on Sale, Cheap Trophies, Discounted Trophies",1,1
category,239,174,D341B1B3-EF6B-4702-8E47-EE0A9A8333D0,Coach Bobblehead Trophies,coach-bobblehead-trophies,,,Coach Bobblehead Trophies,,"Male Coach Bobblehead Trophies, Female Coach Bobblehead Trophies",2,1
category,240,174,3CAC28CD-2808-41F5-A2CA-4D9A5AD4A058,Police & Fire Bobblehead Trophies,police-fire-bobblehead-trophies,,,Police Bobblehead Trophies | Fire Bobblehead Trophies,Police Bobblehead Trophies & Fireman Bobblehead Trophies are the perfect award to recognize a special effort.  This award is sure to bring a smile to the winner's face. Free personalization.,"Police Bobblehead Trophies, Fireman Bobblehead Trophies",9,1
category,244,178,533C4268-0F8D-4696-A3BB-2247C70B0925,Crystal Cup Trophies,crystal-cup-trophies,,,Crystal Cup Trophies | Crystal Bowl Trophies |Crystal Trophy Cups | Vase Trophies,"Crystal Cup Trophies, Crystal Bowl Trophies, Crystal Vase Trophies, Crystal Trophy Cups in all shapes and sizes.  Free shipping & personalization.  Easy to order.  Rush shipping available.","Crystal Cup Trophies, Crystal Bowl Trophies, Crystal Vase Trophies, Crystal Trophy Cups",1,1
category,248,1,396D3DE4-06A9-4C19-BEBE-B922382A2414,Resin Pedestal Sports Ball Trophies,resin-pedestal-sports-ball-trophies,,,Resin Pedestal Sports Ball Trophies,Resin Pedestal Sports Ball Trophies feature colored sports balls mounted on wood pedestals.  Free personalization included.,Resin Pedestal Sports Ball Trophies,1,1
category,249,1,A93BD96F-5612-4FC1-B828-8783E5C61206,Insert Trophies,insert-trophies,,,Insert Trophies ,,Insert Trophies,1,1
category,251,180,EB51752C-7670-460A-A964-3B6EF47C8121,Mascot Medals,mascot-medals,,,Mascot Medals | Scholastic Mascot Medals,,"Mascot Medals, Scholastic Mascot Medals",1,1
category,253,1,1984FDDA-D551-496C-91B5-F83119EAA7BC,Pinewood Derby Racing Flag Trophies,pinewood-derby-racing-flag-trophies,,,Pinewood Derby Racing Flag Trophies,Pinewood Derby Racing Flag Trophies,Pinewood Derby Racing Flag Trophies,1,0
category,255,1,8F7AC506-063A-447D-A9FC-CA3436265690,Tower Trophies ,tower-trophies,,,Tower Trophies,"Tower Trophies are available for football, basketball, baseball, golf, and soccer.  Available in 3 sizes.  Made of resin.  Free personalization.  Rush service.",Tower Trophies ,1,1
category,258,1,506A67E5-475F-4578-90D9-D7B9A16FAE99,Little Buddy Trophies,little-buddy-trophies,,,Little Buddy Trophies ,Little Buddy Trophies make the perfect economical participant award.  These adorable 'lil buddy trophies are sure to bring a smile to their receipient. Made of resin.,"Little Buddy Trophies, Lil Buddy Trophies",1,1
category,259,1,08A44F4F-30C8-4393-ACD2-74DC93BCDE76,SuperStar Trophies,superstar-trophies,,,SuperStar Trophies,"Superstar Trophies feature sleek modern design of super stars in action.  Most are available in a 6.5"" and 8.5"" size.  Includes free personalization and shipping for orders over $200.","Superstar Trophies, Super Star Trophies, Super Star Trophy",1,0
